instant,dateday,season,year,month,hours,holiday,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,humidity_category
1,2011-01-01,Spring,2011,Jan,0,0,Saturday,Clear,0.24,0.2879,81.0,0.0,3,13,16,Terlalu Lembab
2,2011-01-01,Spring,2011,Jan,1,0,Saturday,Clear,0.22,0.2727,80.0,0.0,8,32,40,Terlalu Lembab
3,2011-01-01,Spring,2011,Jan,2,0,Saturday,Clear,0.22,0.2727,80.0,0.0,5,27,32,Terlalu Lembab
4,2011-01-01,Spring,2011,Jan,3,0,Saturday,Clear,0.24,0.2879,75.0,0.0,3,10,13,Terlalu Lembab
5,2011-01-01,Spring,2011,Jan,4,0,Saturday,Clear,0.24,0.2879,75.0,0.0,0,1,1,Terlalu Lembab
6,2011-01-01,Spring,2011,Jan,5,0,Saturday,Misty,0.24,0.2576,75.0,0.0896,0,1,1,Terlalu Lembab
7,2011-01-01,Spring,2011,Jan,6,0,Saturday,Clear,0.22,0.2727,80.0,0.0,2,0,2,Terlalu Lembab
8,2011-01-01,Spring,2011,Jan,7,0,Saturday,Clear,0.2,0.2576,86.0,0.0,1,2,3,Terlalu Lembab
9,2011-01-01,Spring,2011,Jan,8,0,Saturday,Clear,0.24,0.2879,75.0,0.0,1,7,8,Terlalu Lembab
10,2011-01-01,Spring,2011,Jan,9,0,Saturday,Clear,0.32,0.3485,76.0,0.0,8,6,14,Terlalu Lembab
11,2011-01-01,Spring,2011,Jan,10,0,Saturday,Clear,0.38,0.3939,76.0,0.2537,12,24,36,Terlalu Lembab
12,2011-01-01,Spring,2011,Jan,11,0,Saturday,Clear,0.36,0.3333,81.0,0.2836,26,30,56,Terlalu Lembab
13,2011-01-01,Spring,2011,Jan,12,0,Saturday,Clear,0.42,0.4242,77.0,0.2836,29,55,84,Terlalu Lembab
14,2011-01-01,Spring,2011,Jan,13,0,Saturday,Misty,0.46,0.4545,72.0,0.2985,47,47,94,Terlalu Lembab
15,2011-01-01,Spring,2011,Jan,14,0,Saturday,Misty,0.46,0.4545,72.0,0.2836,35,71,106,Terlalu Lembab
16,2011-01-01,Spring,2011,Jan,15,0,Saturday,Misty,0.44,0.4394,77.0,0.2985,40,70,110,Terlalu Lembab
17,2011-01-01,Spring,2011,Jan,16,0,Saturday,Misty,0.42,0.4242,82.0,0.2985,41,52,93,Terlalu Lembab
18,2011-01-01,Spring,2011,Jan,17,0,Saturday,Misty,0.44,0.4394,82.0,0.2836,15,52,67,Terlalu Lembab
19,2011-01-01,Spring,2011,Jan,18,0,Saturday,Light_rainsnow,0.42,0.4242,88.0,0.2537,9,26,35,Terlalu Lembab
20,2011-01-01,Spring,2011,Jan,19,0,Saturday,Light_rainsnow,0.42,0.4242,88.0,0.2537,6,31,37,Terlalu Lembab
21,2011-01-01,Spring,2011,Jan,20,0,Saturday,Misty,0.4,0.4091,87.0,0.2537,11,25,36,Terlalu Lembab
22,2011-01-01,Spring,2011,Jan,21,0,Saturday,Misty,0.4,0.4091,87.0,0.194,3,31,34,Terlalu Lembab
23,2011-01-01,Spring,2011,Jan,22,0,Saturday,Misty,0.4,0.4091,94.0,0.2239,11,17,28,Terlalu Lembab
